Periodo,nom_aglomerado,Tipo_Trabajo,Ingreso_Medio_Real
2016-T2,Gran Salta,Estatal/Público,0.0
2016-T2,Gran Salta,Otro,0.0
2016-T2,Gran Salta,Privado,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Otro,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Privado,0.0
2016-T3,Gran Salta,Estatal/Público,0.0
2016-T3,Gran Salta,Otro,0.0
2016-T3,Gran Salta,Privado,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Otro,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Privado,0.0
2016-T4,Gran Salta,Estatal/Público,0.0
2016-T4,Gran Salta,Otro,0.0
2016-T4,Gran Salta,Privado,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Otro,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Privado,0.0
2017-T1,Gran Salta,Estatal/Público,1568797.78
2017-T1,Gran Salta,Otro,1000035.31
2017-T1,Gran Salta,Privado,760890.28
2017-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,1307414.47
2017-T1,Gran Tucumán - Tafí Viejo,Otro,1565234.38
2017-T1,Gran Tucumán - Tafí Viejo,Privado,822997.08
2017-T2,Gran Salta,Estatal/Público,1571107.72
2017-T2,Gran Salta,Otro,940092.86
2017-T2,Gran Salta,Privado,772211.81
2017-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,1314371.26
2017-T2,Gran Tucumán - Tafí Viejo,Otro,1218906.5
2017-T2,Gran Tucumán - Tafí Viejo,Privado,758693.86
2017-T3,Gran Salta,Estatal/Público,1647154.3
2017-T3,Gran Salta,Otro,669260.72
2017-T3,Gran Salta,Privado,789476.62
2017-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,1335151.12
2017-T3,Gran Tucumán - Tafí Viejo,Otro,1299603.63
2017-T3,Gran Tucumán - Tafí Viejo,Privado,801597.13
2017-T4,Gran Salta,Estatal/Público,1494318.91
2017-T4,Gran Salta,Otro,1207107.99
2017-T4,Gran Salta,Privado,823410.74
2017-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,1278772.31
2017-T4,Gran Tucumán - Tafí Viejo,Otro,1105778.61
2017-T4,Gran Tucumán - Tafí Viejo,Privado,829417.79
2018-T1,Gran Salta,Estatal/Público,1547525.8
2018-T1,Gran Salta,Otro,1184923.86
2018-T1,Gran Salta,Privado,802311.56
2018-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,1339950.75
2018-T1,Gran Tucumán - Tafí Viejo,Otro,874953.43
2018-T1,Gran Tucumán - Tafí Viejo,Privado,798415.68
2018-T2,Gran Salta,Estatal/Público,1490921.82
2018-T2,Gran Salta,Otro,1065042.78
2018-T2,Gran Salta,Privado,787473.84
2018-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,1358936.7
2018-T2,Gran Tucumán - Tafí Viejo,Otro,1219293.86
2018-T2,Gran Tucumán - Tafí Viejo,Privado,817978.13
2018-T3,Gran Salta,Estatal/Público,1344611.0
2018-T3,Gran Salta,Otro,781602.39
2018-T3,Gran Salta,Privado,706878.35
2018-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,1250157.38
2018-T3,Gran Tucumán - Tafí Viejo,Otro,847745.82
2018-T3,Gran Tucumán - Tafí Viejo,Privado,754518.23
2018-T4,Gran Salta,Estatal/Público,1298951.76
2018-T4,Gran Salta,Otro,1020270.77
2018-T4,Gran Salta,Privado,652336.05
2018-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,1184011.67
2018-T4,Gran Tucumán - Tafí Viejo,Otro,750257.2
2018-T4,Gran Tucumán - Tafí Viejo,Privado,695403.79
2019-T1,Gran Salta,Estatal/Público,1258869.96
2019-T1,Gran Salta,Otro,933627.25
2019-T1,Gran Salta,Privado,655556.23
2019-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,1139412.58
2019-T1,Gran Tucumán - Tafí Viejo,Otro,636763.64
2019-T1,Gran Tucumán - Tafí Viejo,Privado,680977.18
2019-T2,Gran Salta,Estatal/Público,1312560.14
2019-T2,Gran Salta,Otro,866115.35
2019-T2,Gran Salta,Privado,642456.28
2019-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,1188717.01
2019-T2,Gran Tucumán - Tafí Viejo,Otro,776069.64
2019-T2,Gran Tucumán - Tafí Viejo,Privado,653205.45
2019-T3,Gran Salta,Estatal/Público,1256310.31
2019-T3,Gran Salta,Otro,964647.82
2019-T3,Gran Salta,Privado,636562.92
2019-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,1283956.68
2019-T3,Gran Tucumán - Tafí Viejo,Otro,719766.48
2019-T3,Gran Tucumán - Tafí Viejo,Privado,652206.04
2019-T4,Gran Salta,Estatal/Público,1267696.13
2019-T4,Gran Salta,Otro,660430.29
2019-T4,Gran Salta,Privado,606635.03
2019-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,1293010.96
2019-T4,Gran Tucumán - Tafí Viejo,Otro,599204.84
2019-T4,Gran Tucumán - Tafí Viejo,Privado,640585.31
2020-T1,Gran Salta,Estatal/Público,1355548.12
2020-T1,Gran Salta,Otro,632378.49
2020-T1,Gran Salta,Privado,579039.71
2020-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,1109531.86
2020-T1,Gran Tucumán - Tafí Viejo,Otro,929601.85
2020-T1,Gran Tucumán - Tafí Viejo,Privado,640919.56
2020-T2,Gran Salta,Estatal/Público,1345805.71
2020-T2,Gran Salta,Otro,1045165.1
2020-T2,Gran Salta,Privado,609358.6
2020-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,1556626.31
2020-T2,Gran Tucumán - Tafí Viejo,Otro,684788.34
2020-T2,Gran Tucumán - Tafí Viejo,Privado,557155.96
2020-T3,Gran Salta,Estatal/Público,1305160.12
2020-T3,Gran Salta,Otro,1007577.3
2020-T3,Gran Salta,Privado,601207.77
2020-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,1009813.95
2020-T3,Gran Tucumán - Tafí Viejo,Otro,810731.26
2020-T3,Gran Tucumán - Tafí Viejo,Privado,552230.13
2020-T4,Gran Salta,Estatal/Público,1190162.37
2020-T4,Gran Salta,Otro,506874.91
2020-T4,Gran Salta,Privado,635960.54
2020-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,1143919.61
2020-T4,Gran Tucumán - Tafí Viejo,Otro,1019333.1
2020-T4,Gran Tucumán - Tafí Viejo,Privado,607593.4
2021-T1,Gran Salta,Estatal/Público,1220902.25
2021-T1,Gran Salta,Otro,1073851.63
2021-T1,Gran Salta,Privado,582866.96
2021-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,1099702.87
2021-T1,Gran Tucumán - Tafí Viejo,Otro,732915.69
2021-T1,Gran Tucumán - Tafí Viejo,Privado,581282.62
2021-T2,Gran Salta,Estatal/Público,1137360.49
2021-T2,Gran Salta,Otro,1058394.85
2021-T2,Gran Salta,Privado,558407.38
2021-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,1013836.05
2021-T2,Gran Tucumán - Tafí Viejo,Otro,717445.42
2021-T2,Gran Tucumán - Tafí Viejo,Privado,597469.67
2021-T3,Gran Salta,Estatal/Público,1166840.55
2021-T3,Gran Salta,Otro,766630.81
2021-T3,Gran Salta,Privado,564448.15
2021-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,951368.85
2021-T3,Gran Tucumán - Tafí Viejo,Otro,984609.96
2021-T3,Gran Tucumán - Tafí Viejo,Privado,560446.17
2021-T4,Gran Salta,Estatal/Público,1152008.69
2021-T4,Gran Salta,Otro,617370.25
2021-T4,Gran Salta,Privado,636577.58
2021-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,973852.69
2021-T4,Gran Tucumán - Tafí Viejo,Otro,734824.93
2021-T4,Gran Tucumán - Tafí Viejo,Privado,578295.69
2022-T1,Gran Salta,Estatal/Público,1158208.64
2022-T1,Gran Salta,Otro,536007.54
2022-T1,Gran Salta,Privado,661084.9
2022-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,978638.95
2022-T1,Gran Tucumán - Tafí Viejo,Otro,817300.76
2022-T1,Gran Tucumán - Tafí Viejo,Privado,646519.28
2022-T2,Gran Salta,Estatal/Público,1043237.19
2022-T2,Gran Salta,Otro,1598251.52
2022-T2,Gran Salta,Privado,600116.95
2022-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,904277.42
2022-T2,Gran Tucumán - Tafí Viejo,Otro,690732.69
2022-T2,Gran Tucumán - Tafí Viejo,Privado,583153.47
2022-T3,Gran Salta,Estatal/Público,1106707.73
2022-T3,Gran Salta,Otro,1113268.32
2022-T3,Gran Salta,Privado,586322.18
2022-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,892182.48
2022-T3,Gran Tucumán - Tafí Viejo,Otro,715540.21
2022-T3,Gran Tucumán - Tafí Viejo,Privado,513438.49
2022-T4,Gran Salta,Estatal/Público,1078823.99
2022-T4,Gran Salta,Otro,767012.29
2022-T4,Gran Salta,Privado,589358.34
2022-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,861528.91
2022-T4,Gran Tucumán - Tafí Viejo,Otro,670885.79
2022-T4,Gran Tucumán - Tafí Viejo,Privado,543094.86
2023-T1,Gran Salta,Estatal/Público,1049861.62
2023-T1,Gran Salta,Otro,987140.83
2023-T1,Gran Salta,Privado,642991.04
2023-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,797457.45
2023-T1,Gran Tucumán - Tafí Viejo,Otro,777475.14
2023-T1,Gran Tucumán - Tafí Viejo,Privado,588986.88
2023-T2,Gran Salta,Estatal/Público,1190778.94
2023-T2,Gran Salta,Otro,710487.42
2023-T2,Gran Salta,Privado,618628.65
2023-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,871863.75
2023-T2,Gran Tucumán - Tafí Viejo,Otro,703650.11
2023-T2,Gran Tucumán - Tafí Viejo,Privado,536191.32
2023-T3,Gran Salta,Estatal/Público,996594.62
2023-T3,Gran Salta,Otro,945556.37
2023-T3,Gran Salta,Privado,574066.03
2023-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,899352.23
2023-T3,Gran Tucumán - Tafí Viejo,Otro,701883.94
2023-T3,Gran Tucumán - Tafí Viejo,Privado,521346.99
2023-T4,Gran Salta,Estatal/Público,912406.67
2023-T4,Gran Salta,Otro,1139161.44
2023-T4,Gran Salta,Privado,531005.35
2023-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,728824.0
2023-T4,Gran Tucumán - Tafí Viejo,Otro,699259.8
2023-T4,Gran Tucumán - Tafí Viejo,Privado,462869.07
2024-T1,Gran Salta,Estatal/Público,887618.14
2024-T1,Gran Salta,Otro,662830.75
2024-T1,Gran Salta,Privado,510150.0
2024-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,584060.06
2024-T1,Gran Tucumán - Tafí Viejo,Otro,595965.06
2024-T1,Gran Tucumán - Tafí Viejo,Privado,420301.06
2024-T2,Gran Salta,Estatal/Público,921844.67
2024-T2,Gran Salta,Otro,783904.19
2024-T2,Gran Salta,Privado,542151.13
2024-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,745910.06
2024-T2,Gran Tucumán - Tafí Viejo,Otro,468047.21
2024-T2,Gran Tucumán - Tafí Viejo,Privado,521118.11
2024-T3,Gran Salta,Estatal/Público,970490.74
2024-T3,Gran Salta,Otro,889969.4
2024-T3,Gran Salta,Privado,579361.84
2024-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,817707.69
2024-T3,Gran Tucumán - Tafí Viejo,Otro,770564.58
2024-T3,Gran Tucumán - Tafí Viejo,Privado,551398.26
2024-T4,Gran Salta,Estatal/Público,1119935.14
2024-T4,Gran Salta,Otro,1133117.98
2024-T4,Gran Salta,Privado,659178.32
2024-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,817812.82
2024-T4,Gran Tucumán - Tafí Viejo,Otro,767687.02
2024-T4,Gran Tucumán - Tafí Viejo,Privado,505165.22
2025-T1,Gran Salta,Estatal/Público,1206809.75
2025-T1,Gran Salta,Otro,708182.72
2025-T1,Gran Salta,Privado,728102.57
2025-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,897794.76
2025-T1,Gran Tucumán - Tafí Viejo,Otro,1130517.31
2025-T1,Gran Tucumán - Tafí Viejo,Privado,665661.35
2025-T2,Gran Salta,Estatal/Público,1190224.95
2025-T2,Gran Salta,Otro,916139.42
2025-T2,Gran Salta,Privado,810494.22
2025-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,966448.75
2025-T2,Gran Tucumán - Tafí Viejo,Otro,853404.85
2025-T2,Gran Tucumán - Tafí Viejo,Privado,654638.03
2025-T3,Gran Salta,Estatal/Público,1225816.59
2025-T3,Gran Salta,Otro,895281.96
2025-T3,Gran Salta,Privado,711317.93
2025-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,1003825.48
2025-T3,Gran Tucumán - Tafí Viejo,Otro,1118332.04
2025-T3,Gran Tucumán - Tafí Viejo,Privado,739457.58
2025-T4,Gran Salta,Estatal/Público,1176514.51
2025-T4,Gran Salta,Otro,1350604.92
2025-T4,Gran Salta,Privado,753386.87
2025-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,974745.26
2025-T4,Gran Tucumán - Tafí Viejo,Otro,952302.42
2025-T4,Gran Tucumán - Tafí Viejo,Privado,734625.37
