ANO4,TRIMESTRE,nom_aglomerado,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real,Periodo
2016,2,Gran Salta,41.68,37.92,9.03,0.0,2016-T2
2016,2,Gran Tucumán - Tafí Viejo,40.18,36.71,8.62,0.0,2016-T2
2016,3,Gran Salta,41.39,38.24,7.6,0.0,2016-T3
2016,3,Gran Tucumán - Tafí Viejo,42.5,39.03,8.16,0.0,2016-T3
2016,4,Gran Salta,41.72,38.69,7.27,0.0,2016-T4
2016,4,Gran Tucumán - Tafí Viejo,43.98,40.43,8.07,0.0,2016-T4
2017,1,Gran Salta,45.68,42.3,7.4,918584.09,2017-T1
2017,1,Gran Tucumán - Tafí Viejo,40.67,37.37,8.12,938101.56,2017-T1
2017,2,Gran Salta,44.94,41.36,7.97,929211.04,2017-T2
2017,2,Gran Tucumán - Tafí Viejo,41.28,38.18,7.52,883087.95,2017-T2
2017,3,Gran Salta,45.9,41.96,8.6,966390.41,2017-T3
2017,3,Gran Tucumán - Tafí Viejo,41.64,38.06,8.6,912384.13,2017-T3
2017,4,Gran Salta,47.23,43.27,8.37,967197.61,2017-T4
2017,4,Gran Tucumán - Tafí Viejo,42.29,39.89,5.67,920442.84,2017-T4
2018,1,Gran Salta,46.41,42.28,8.9,954702.53,2018-T1
2018,1,Gran Tucumán - Tafí Viejo,41.39,38.26,7.57,918793.56,2018-T1
2018,2,Gran Salta,45.43,40.83,10.13,934373.07,2018-T2
2018,2,Gran Tucumán - Tafí Viejo,44.01,40.1,8.88,923875.4,2018-T2
2018,3,Gran Salta,47.1,42.8,9.12,835449.73,2018-T3
2018,3,Gran Tucumán - Tafí Viejo,43.24,40.16,7.13,843697.11,2018-T3
2018,4,Gran Salta,47.52,43.25,9.0,773934.74,2018-T4
2018,4,Gran Tucumán - Tafí Viejo,43.4,39.98,7.9,792145.53,2018-T4
2019,1,Gran Salta,45.61,41.09,9.91,775391.39,2019-T1
2019,1,Gran Tucumán - Tafí Viejo,43.66,38.92,10.85,770141.15,2019-T1
2019,2,Gran Salta,47.41,41.38,12.73,771910.21,2019-T2
2019,2,Gran Tucumán - Tafí Viejo,45.42,40.44,10.96,747367.93,2019-T2
2019,3,Gran Salta,47.8,43.55,8.89,748822.1,2019-T3
2019,3,Gran Tucumán - Tafí Viejo,47.28,41.9,11.37,769404.47,2019-T3
2019,4,Gran Salta,47.31,42.35,10.47,719118.31,2019-T4
2019,4,Gran Tucumán - Tafí Viejo,44.3,39.83,10.09,763084.14,2019-T4
2020,1,Gran Salta,47.4,42.28,10.8,722814.04,2020-T1
2020,1,Gran Tucumán - Tafí Viejo,43.66,37.76,13.52,735431.0,2020-T1
2020,2,Gran Salta,38.73,33.28,14.07,795324.39,2020-T2
2020,2,Gran Tucumán - Tafí Viejo,33.81,30.16,10.81,903277.45,2020-T2
2020,3,Gran Salta,44.72,39.8,11.01,760375.29,2020-T3
2020,3,Gran Tucumán - Tafí Viejo,37.45,32.98,11.95,638310.25,2020-T3
2020,4,Gran Salta,44.4,40.36,9.1,751758.83,2020-T4
2020,4,Gran Tucumán - Tafí Viejo,41.59,37.38,10.14,718855.21,2020-T4
2021,1,Gran Salta,47.1,42.11,10.59,715505.15,2021-T1
2021,1,Gran Tucumán - Tafí Viejo,43.39,36.79,15.23,686478.08,2021-T1
2021,2,Gran Salta,46.77,41.87,10.48,668765.46,2021-T2
2021,2,Gran Tucumán - Tafí Viejo,42.17,36.74,12.88,680347.36,2021-T2
2021,3,Gran Salta,45.02,41.83,7.09,678173.6,2021-T3
2021,3,Gran Tucumán - Tafí Viejo,41.77,37.6,9.98,643260.09,2021-T3
2021,4,Gran Salta,46.0,43.12,6.25,734312.52,2021-T4
2021,4,Gran Tucumán - Tafí Viejo,41.74,38.05,8.84,660561.13,2021-T4
2022,1,Gran Salta,46.88,43.67,6.86,761621.66,2022-T1
2022,1,Gran Tucumán - Tafí Viejo,43.27,38.83,10.26,721812.33,2022-T1
2022,2,Gran Salta,47.92,44.55,7.02,693329.56,2022-T2
2022,2,Gran Tucumán - Tafí Viejo,44.63,41.2,7.69,649022.2,2022-T2
2022,3,Gran Salta,44.63,41.31,7.44,700188.49,2022-T3
2022,3,Gran Tucumán - Tafí Viejo,42.05,38.98,7.3,592169.22,2022-T3
2022,4,Gran Salta,46.42,43.57,6.13,672630.35,2022-T4
2022,4,Gran Tucumán - Tafí Viejo,43.09,39.76,7.73,609252.92,2022-T4
2023,1,Gran Salta,46.78,43.68,6.63,726598.94,2023-T1
2023,1,Gran Tucumán - Tafí Viejo,42.34,39.76,6.1,641091.17,2023-T1
2023,2,Gran Salta,45.34,43.06,5.04,727821.69,2023-T2
2023,2,Gran Tucumán - Tafí Viejo,44.18,40.94,7.34,605902.82,2023-T2
2023,3,Gran Salta,45.5,43.31,4.81,655555.74,2023-T3
2023,3,Gran Tucumán - Tafí Viejo,47.3,44.4,6.13,593507.84,2023-T3
2023,4,Gran Salta,48.02,45.65,4.95,610563.75,2023-T4
2023,4,Gran Tucumán - Tafí Viejo,46.5,43.75,5.91,517757.21,2023-T4
2024,1,Gran Salta,45.66,43.08,5.65,588764.85,2024-T1
2024,1,Gran Tucumán - Tafí Viejo,42.78,39.07,8.68,453017.69,2024-T1
2024,2,Gran Salta,45.41,42.92,5.49,608167.91,2024-T2
2024,2,Gran Tucumán - Tafí Viejo,43.74,40.21,8.05,567468.12,2024-T2
2024,3,Gran Salta,45.61,43.19,5.3,648276.35,2024-T3
2024,3,Gran Tucumán - Tafí Viejo,44.58,41.83,6.17,612069.6,2024-T3
2024,4,Gran Salta,46.75,43.59,6.77,741256.91,2024-T4
2024,4,Gran Tucumán - Tafí Viejo,43.61,40.63,6.82,568953.58,2024-T4
2025,1,Gran Salta,44.72,42.07,5.92,812532.05,2025-T1
2025,1,Gran Tucumán - Tafí Viejo,43.81,40.06,8.56,705354.28,2025-T1
2025,2,Gran Salta,45.37,42.37,6.6,875887.71,2025-T2
2025,2,Gran Tucumán - Tafí Viejo,45.26,43.02,4.94,702956.53,2025-T2
2025,3,Gran Salta,44.08,41.65,5.52,787589.93,2025-T3
2025,3,Gran Tucumán - Tafí Viejo,45.8,42.59,7.01,782775.7,2025-T3
2025,4,Gran Salta,45.7,43.01,5.89,834539.13,2025-T4
2025,4,Gran Tucumán - Tafí Viejo,46.88,44.02,6.1,783233.4,2025-T4
